ccode,year,gender,age_group,edu_ilo,neet_fc
UGA,2021,Female,25-54,No Education,0.2182742476699234
UGA,2022,Female,25-54,No Education,0.4451064483165916
UGA,2023,Female,25-54,No Education,0.6727754058247118
UGA,2024,Female,25-54,No Education,0.5824838102094138
UGA,2025,Female,25-54,No Education,0.5824838102094138
UGA,2015,Female,25-54,Primary,0.264336968428214
UGA,2016,Female,25-54,Primary,0.2852697278971973
UGA,2017,Female,25-54,Primary,0.2131083484755796
UGA,2018,Female,25-54,Primary,0.2656223898696537
UGA,2019,Female,25-54,Primary,0.1371613013020599
UGA,2020,Female,25-54,Primary,0.3046521308553488
UGA,2021,Female,25-54,Primary,0.1861842259989061
UGA,2022,Female,25-54,Primary,0.3122262197335674
UGA,2023,Female,25-54,Primary,0.3410515962599524
UGA,2024,Female,25-54,Primary,0.2622167743639361
UGA,2025,Female,25-54,Primary,0.2622167743639361
UGA,2015,Female,25-54,Tertiary,0.3704126890672178
UGA,2016,Female,25-54,Tertiary,0.3734148902204993
UGA,2017,Female,25-54,Tertiary,0.2843486397057477
UGA,2018,Female,25-54,Tertiary,0.3349552610614357
UGA,2019,Female,25-54,Tertiary,0.5610591704557882
UGA,2020,Female,25-54,Tertiary,0.2881178173782698
UGA,2021,Female,25-54,Tertiary,0.4819552004417861
UGA,2022,Female,25-54,Tertiary,0.2919160626359385
UGA,2023,Female,25-54,Tertiary,0.4036483365462129
UGA,2024,Female,25-54,Tertiary,0.300496026939404
UGA,2025,Female,25-54,Tertiary,0.300496026939404
UGA,2015,Female,25-54,Upper Secondary,0.4537338489719972
UGA,2016,Female,25-54,Upper Secondary,0.4368997695171421
UGA,2017,Female,25-54,Upper Secondary,0.1673509838645631
UGA,2018,Female,25-54,Upper Secondary,0.3204729805276983
UGA,2019,Female,25-54,Upper Secondary,0.0746567230476694
UGA,2020,Female,25-54,Upper Secondary,0.5446028197039341
UGA,2021,Female,25-54,Upper Secondary,0.212617665635361
UGA,2022,Female,25-54,Upper Secondary,0.4171228952464574
UGA,2023,Female,25-54,Upper Secondary,0.4823695675428926
UGA,2024,Female,25-54,Upper Secondary,0.4521541550892272
UGA,2025,Female,25-54,Upper Secondary,0.4521541550892272
ZAF,2015,Female,25-54,Lower Secondary,0.458500965996392
ZAF,2016,Female,25-54,Lower Secondary,0.4798082813647406
ZAF,2017,Female,25-54,Lower Secondary,0.4824535627500713
ZAF,2018,Female,25-54,Lower Secondary,0.473185603036224
ZAF,2019,Female,25-54,Lower Secondary,0.4791888996838515
ZAF,2020,Female,25-54,Lower Secondary,0.4309390615256248
ZAF,2021,Female,25-54,Lower Secondary,0.4222847035646421
ZAF,2022,Female,25-54,Lower Secondary,0.5128914736649257
ZAF,2023,Female,25-54,Lower Secondary,0.4540406854023277
ZAF,2024,Female,25-54,Lower Secondary,0.4192203274286762
ZAF,2025,Female,25-54,Lower Secondary,0.4192203274286762
ZAF,2015,Female,25-54,No Education,0.3960419188783362
ZAF,2016,Female,25-54,No Education,0.4044554530373679
ZAF,2017,Female,25-54,No Education,0.3979760200367321
ZAF,2018,Female,25-54,No Education,0.4025576262530687
ZAF,2019,Female,25-54,No Education,0.3939061531837475
ZAF,2020,Female,25-54,No Education,0.3693816981433689
ZAF,2021,Female,25-54,No Education,0.3952632201020702
ZAF,2022,Female,25-54,No Education,0.6159226224337664
ZAF,2023,Female,25-54,No Education,0.5489363041308918
ZAF,2024,Female,25-54,No Education,0.6040520407446351
ZAF,2025,Female,25-54,No Education,0.6040520407446351
ZAF,2015,Female,25-54,Primary,0.264336968428214
ZAF,2016,Female,25-54,Primary,0.2791079753477826
ZAF,2017,Female,25-54,Primary,0.2857004636022635
ZAF,2018,Female,25-54,Primary,0.2827466910734014
ZAF,2019,Female,25-54,Primary,0.2734112991110454
ZAF,2020,Female,25-54,Primary,0.2525752872995653
ZAF,2021,Female,25-54,Primary,0.2485017737116133
ZAF,2022,Female,25-54,Primary,0.3452272936191348
ZAF,2023,Female,25-54,Primary,0.3264432794782114
ZAF,2024,Female,25-54,Primary,0.309618099102774
ZAF,2025,Female,25-54,Primary,0.309618099102774
ZAF,2015,Female,25-54,Tertiary,0.3704126890672178
ZAF,2016,Female,25-54,Tertiary,0.4710295710665219
ZAF,2017,Female,25-54,Tertiary,0.3761256056763212
ZAF,2018,Female,25-54,Tertiary,0.429240209107329
ZAF,2019,Female,25-54,Tertiary,0.4267675095778856
ZAF,2020,Female,25-54,Tertiary,0.5717880731146817
ZAF,2021,Female,25-54,Tertiary,0.6032738743774315
ZAF,2022,Female,25-54,Tertiary,0.5874000793951317
ZAF,2023,Female,25-54,Tertiary,0.5111794551540847
ZAF,2024,Female,25-54,Tertiary,0.5674137958203164
ZAF,2025,Female,25-54,Tertiary,0.5674137958203164
ZAF,2015,Female,25-54,Upper Secondary,0.5548196300233698
ZAF,2016,Female,25-54,Upper Secondary,0.5499519521878004
ZAF,2017,Female,25-54,Upper Secondary,0.553480527322277
ZAF,2018,Female,25-54,Upper Secondary,0.5434058179394127
ZAF,2019,Female,25-54,Upper Secondary,0.5687527821062094
ZAF,2020,Female,25-54,Upper Secondary,0.6205099627631927
ZAF,2021,Female,25-54,Upper Secondary,0.6850155545333965
ZAF,2022,Female,25-54,Upper Secondary,0.7050022416919444
ZAF,2023,Female,25-54,Upper Secondary,0.7510554334431914
ZAF,2024,Female,25-54,Upper Secondary,0.7630663025486624
ZAF,2025,Female,25-54,Upper Secondary,0.7630663025486624
ZMB,2015,Female,25-54,Lower Secondary,0.95
ZMB,2016,Female,25-54,Lower Secondary,0.4904008124353615
